Recency,Frequency,Monetary
0.871313672922252,0.0,0.015554263731182821
0.005361930294906166,0.6666666666666667,1.0
0.20107238605898123,0.2666666666666667,0.3665374592906986
0.04825737265415549,0.0,0.63242783427639
0.09651474530831099,0.2666666666666667,0.3841117572726844
0.546916890080429,0.0,0.03763997153996189
0.6219839142091153,0.0,0.46780850973095384
0.5737265415549598,0.0,0.1509414481849992
0.058981233243967826,0.2666666666666667,0.7636537481735522
0.08847184986595175,0.0,1.0
0.002680965147453083,0.13333333333333333,0.23473246890830615
0.15281501340482573,0.2666666666666667,1.0
0.13941018766756033,0.2666666666666667,0.9960160435609162
0.00804289544235925,1.0,1.0
0.2922252010723861,0.13333333333333333,0.21831183493177891
0.01876675603217158,0.4,0.5729490480027472
0.010723860589812333,0.0,0.07413525700446874
0.13672922252010725,0.2666666666666667,0.9627124122126782
0.11796246648793565,0.13333333333333333,0.6571440755762147
0.19034852546916892,0.13333333333333333,0.33634468068869694
0.06702412868632708,0.0,0.28907139025490586
0.026809651474530828,0.13333333333333333,0.18860386454997
0.9490616621983914,0.0,0.4099188170679427
0.34584450402144773,0.0,1.0
0.21715817694369974,0.13333333333333333,0.3598758352280506
0.05630026809651474,0.4,0.9592559091613041
0.010723860589812333,0.5333333333333333,0.7034926392196382
0.4932975871313673,0.4,0.6376574785034688
0.07506702412868632,0.13333333333333333,0.22369410396891837
0.903485254691689,0.13333333333333333,0.13204290552748704
0.040214477211796246,0.4,0.9472793505365436
0.21179624664879357,0.0,0.24217517288126458
0.05630026809651474,0.0,0.19567847339278216
0.19302949061662197,0.4,0.6375003647284063
0.16890080428954424,0.13333333333333333,0.2728078700534411
0.05093833780160858,1.0,1.0
0.09383378016085792,0.13333333333333333,0.9813999735151063
0.12064343163538874,0.0,0.6388739880189523
0.3190348525469169,0.2666666666666667,0.3446627328370034
0.8659517426273459,0.0,0.09958768856458608
0.13136729222520108,0.0,0.07063386430307696
0.3967828418230563,0.0,0.5770744068393872
0.058981233243967826,0.13333333333333333,1.0
0.13136729222520108,0.4,0.5792695107252596
0.08579088471849866,0.2666666666666667,0.6783050565946263
0.20911528150134048,0.2666666666666667,1.0
0.19839142091152814,0.2666666666666667,0.5202665547418059
0.1769436997319035,0.2666666666666667,0.32744755205516035
0.5817694369973191,0.13333333333333333,0.14638514870818808
0.064343163538874,1.0,1.0
0.00804289544235925,0.8,1.0
0.3002680965147453,0.0,0.2596776474232218
0.16890080428954424,0.0,0.26666247696599826
0.040214477211796246,0.2666666666666667,0.2741141588689603
0.2546916890080429,0.2666666666666667,0.32240195539315475
0.0,0.6666666666666667,0.5806835347008216
0.4343163538873995,0.13333333333333333,0.36188689154885
0.20911528150134048,0.0,0.3080552232474519
0.5201072386058981,0.0,0.24481917326731556
0.05630026809651474,0.2666666666666667,0.3132444667895146
0.06702412868632708,0.5333333333333333,0.8242143750126252
0.02412868632707775,0.4,1.0
0.11528150134048257,0.0,0.10793716346790501
0.09383378016085792,1.0,1.0
0.1126005361930295,0.5333333333333333,1.0
0.0,0.8,1.0
0.225201072386059,0.0,0.2287307227009204
0.21179624664879357,0.0,0.2913562734408141
0.26541554959785524,0.0,0.19473579074240746
0.002680965147453083,1.0,1.0
0.03753351206434316,0.13333333333333333,0.9107661092120295
0.9812332439678284,0.0,0.07622262573029848
0.00804289544235925,0.0,0.0755537699450326
0.05630026809651474,0.5333333333333333,1.0
0.058981233243967826,0.0,0.05029885284499379
0.15281501340482573,0.0,0.4482500892181793
0.6514745308310992,0.0,0.20924861459317629
0.11796246648793565,0.0,0.16766284281664595
0.058981233243967826,0.4,1.0
0.41823056300268097,0.13333333333333333,0.07475473417471498
0.026809651474530828,0.5333333333333333,1.0
0.04289544235924933,0.13333333333333333,0.16955718604739894
0.35924932975871315,0.0,0.31572686443550135
0.15013404825737264,0.0,0.2568810222271102
0.19571045576407506,0.4,0.34161472560079176
0.11796246648793565,0.2666666666666667,1.0
0.1769436997319035,0.8,0.6740988963879543
0.19034852546916892,0.0,0.19712392012335672
0.2520107238605898,0.13333333333333333,0.2802595519564031
0.04825737265415549,0.0,0.1697412336124721
0.14209115281501342,0.4,0.6019836736342884
0.026809651474530828,0.6666666666666667,0.2707519240826239
0.045576407506702415,0.13333333333333333,0.3304057799913362
0.5013404825737265,0.0,0.21223826528436468
0.005361930294906166,1.0,1.0
0.08579088471849866,0.5333333333333333,1.0
0.0777479892761394,0.5333333333333333,1.0
0.045576407506702415,1.0,1.0
0.14209115281501342,0.0,0.31105385186864387
0.040214477211796246,1.0,1.0
0.058981233243967826,0.5333333333333333,1.0
0.00804289544235925,0.0,0.2606472638636072
0.029490616621983913,0.0,0.22797208761561885
0.07506702412868632,0.2666666666666667,0.9254719585578749
0.058981233243967826,1.0,1.0
0.045576407506702415,0.9333333333333333,0.839207518118585
0.08579088471849866,0.6666666666666667,1.0
0.02412868632707775,0.2666666666666667,0.5137575554892185
0.900804289544236,0.0,0.14866554292909454
0.013404825737265416,1.0,1.0
0.10187667560321716,0.0,0.20121785620498406
0.16890080428954424,0.13333333333333333,0.11647068593629709
0.44235924932975873,0.13333333333333333,0.19302100611172582
0.040214477211796246,0.6666666666666667,0.44483398685182146
0.21715817694369974,0.0,0.22536848791458394
0.05630026809651474,0.2666666666666667,0.1795361552463656
0.06166219839142091,0.9333333333333333,0.5481879170529047
0.900804289544236,0.0,0.9247447462275858
0.2546916890080429,0.2666666666666667,0.7835353741664552
0.04825737265415549,0.13333333333333333,0.1088574012932708
0.6219839142091153,0.0,0.03131053088744593
